country_name,alt_country_name,capital,alt_location,place_to_visit,place_to_eat,place_to_stay,country_pop(m),category(s),crime_rate,safety_index,tourist_development_index,touritisity(1-5)
Comoros,,Moroni,Adda-Douéni,Bouni Beach,Café Dhow,Moheli Laka Lodge,0.850387,"tropical paradise, cultural",62,38,,
Democratic Republic of the Congo,DRC,Kinshasa,Lubumbashi,Mount Nyiragongo,Firengui Resto-bar,Hilton Kinshasa,105.8,"wildlife, adventure",62,38,,
Republic of the Congo,Congo,Brazzaville,Dolisie,Odzala-Kokoua National Park,Restaurant La Grande Cascade,RESIDENCE HOTELIERE DE MOUNGALI,105.8,"wildlife, adventure, cultural",62,38,,
Costa Rica,,San José,Alajuela,Monteverde Cloud Forest Biological Preserve,Restaurante Silvestre,Hotel Costa Verde,5.106,"natural beauty, adventure, wildlife",53.7,46.3,4.08,
Croatia,,Zagreb,Zadar,Museum of Broken Relationships,Restaurant 360,Zaton Holiday Resort,3.86,"historical, tropical paradise, cultural",26,74,4.13,
Cuba,,Havana,Santa Clara,Cuban Art Factory,La Esquina de Cuba,Hotel Grand Aston La Habana,11.02,"cultural, historical, artistic",33.4,66.6,,
Cyprus,,Nicosia,Paphos,Paphos Archeological Park,Dionysus Mansion,The Golden Bay Beach Hotel,1.345,"historical, tropical paradise, cultural",32.4,67.6,4.37,
Czech Republic,Czech,Prague,Liberec,Prague Astronomical Clock,Restaurant Mincovna,A&O Prague Rhea,10.86,"historical, artistic, cultural",26.8,73.2,4.31,
Denmark,,Copenhagen,Odense,Rosenborg Castle,Flame Trees Denmark,Bandholm Badehotel,5.947,"historical, artistic, cultural",26.3,73.7,4.63,
Djibouti,,Djibouti City,Tadjoura,Lac 'Assal,Pizzaiolo Haramous,Dijibouti Palace Kempinski,1.153,"natural beauty, adventure",62,38,4.01,
Dominica,,Roseau,Portsmouth,Trafalgar Falls,Lacou Melrose House,Ti Kwen Glo Cho,0.06651,"tropical paradise, natural beauty",62,38,4.01,
Dominican Republic,Dominican,Santo Domingo,La Romana,The Three Eyes National Park,Don Pepe,Costambar,11.33,"tropical paradise, cultural",60.5,39.5,3.88,
East Timor,Timor-Leste,Dili,Alieu,Balibo Fort Hotel,Pro-Ema Restaurant School,Compass Diving Atauro Eco,1.384,"natural beauty, adventure, wildlife",62,38,4.01,
Ecuador,,Quito,Cuenca,Middle of the World City,Zazu,Blue House,17.98,"natural beauty, religious, cultural",62.1,37.9,3.66,
Egypt,,Cairo,Gizo,Valley of the Kings,Al Khan Egyptian Restaurant,Best View Pyramids Hotel,114.5,"historical, religious, cultural",47.3,52.7,4.01,
El Salvador,,San Salvador,Sonsonate,Parque Nacional El Boquerón,Brutto El Salvador Restaurant,Casaola Mizata,6.31,"cultural, natural beauty",61.3,38.7,3.43,
Equatorial Guinea,,Malabo,Ebebiyin,St.Elizabeth's Cathedral,L'Atelier,Sofitel Malabo Sipopo Le,1.848,"wildlife, cultural",62,38,4.01,
Eritrea,,Asmara,Keren,Cathedral Our Lady of the Rosary,Ghibabo Restaurant & Pizzeria,Asmara Palace Hotel,3.47,"historical, cultural",62,38,4.01,
Eswatini,Swaziland,Mbabane,Lobamba,Mantenga Nature Reserve and Cultural Village,Equinox Restaurant & Bar,Summerfield Botanical Garden,1.231,"wildlife, cultural",62,38,4.01,
Ethiopia,,Addis Ababa,Gondar,Simien Mountains National Park,Yod Abyssinia Traditional Restaurant,Miracle Hotel Addis Ababa,128.7,"historical, religious, cultural",50.8,49.2,4.01,
Fiji ,,Suva,Nadi,Sri Siva Subramaniya Swami Temple,Navo,DoubleTree Resort by Hilton,0.924145,"tropical paradise, cultural",57.3,42.7,4.01,
Finland,,Helsinki,Turku,Santa Claus Village,Lappi Ravintola,Valo Hotel,5.584,"natural beauty, adventure",26.3,73.7,4.52,
France,,Paris,Lyon,Notre-Dame Cathedral of Paris,Under The Sea Restaurant,Camping Dordogne Le,68.29,"artistic, foodie",55.3,44.7,5.07,
French Guiana,,Cayenne,Matoury,Devil's Island,Restaurant La Petite Maison,Mercure Cayenne Royal,0.292354,"wildlife, natural beauty, adventure, cultural, historical",62,38,4.01,
French Polynesia,,Papeete,Fa'a'?,Tahiti's Lava Tubes,Maru Maru,InterContinental Tahiti Resort,0.281118,"tropical paradise, natural beauty, adventure, cultural",62,38,4.01,
Gabon,,Oyem,Tchibanga,Ivindo National Park,L'Odika,Namaste Hotel & Restaurant,2.485,"wildlife, natural beauty",62,38,4.01,
The Gambia,,Banjul,Sukuta,Albert Market,House of Flavour,Faith And Grace Guest House,2.698,"cultural, natural beauty",62,38,4.01,
Gaza Strip,,Gaza City,Bani Suheila,Rafah Crossing Mosque,Cedar Café,Roots Hotel,2.1,"historical, religious, cultural",62,38,4.01,
Georgia,,Tbilisi,Gori,Holy Trinity Cathedral of Tbilisi,Georgian House,Hostel Firuza,3.715,"historical, cultural, natural beauty",26.1,73.9,4.14,
Germany,,Berlin,Hamburg,Cologne Cathedral,Hackethal's,Berolina Haus,83.28,"historical, tropical paradise, cultural",38.9,61.1,5,
Ghana,,Accra,Cape Coast,Cape Coast Castle,The Buka Restaurant,Labadi Beach Hotel,33.79,"historical, cultural",62,38,3.28,
Greece,,Athens,Volos,Acropolis of Athens,MIRONI Greek Restaurant,Paradise Beach Camping,10.41,"historical, tropical paradise, cultural",46.7,53.3,4.52,
Greenland,,Nuuk,Sisimiut,Greenland National Museum and Archives,Restaurant Unicorn,Hotel Arctic,0.056865,"natural beauty, adventure, wildlife, cultural",62,38,4.01,
Grenada,,Saint George's,Grenville,River Antoine Estate Rum Distillery,Dodgy Dock Restaurant Grenada,Radisson Grenada Beach,0.111081,"tropical paradise, cultural",62,38,4.01,
Guadeloupe,,Basse-Terre,Pointe-à-Pitre,Jardin Botanique de Deshaies,Casa Datcha,Club Med La Caravelle,0.378561,"tropical paradise, natural beauty, adventure, cultural, foodie",62,38,4.01,
Guam,,Hagåtña,Dededo,Two Lovers Point,King's Restaurant,Royal Orchid Guan Hotel,0.166506,"tropical paradise, natural beauty, adventure, cultural, historical",62,38,4.01,
Guatemala,,Guatemala City,Quetzaltenango,Antigua Guatemala,Gracia Cocina de Autor,Mellow Hostel,18.12,"historical, cultural, natural beauty",59.5,40.5,3.42,
Guernsey,,Saint Peter Port,Saint Anne,Castle Cornet,Le Nautique Restaurant,Cobo Bay Hotel,0.064781,"natural beauty, historical, cultural",62,38,4.01,
Guinea,,Conakry,Labe,Grande Mosquée de Conakry,LE RUGA,Noom Hotel Conarky,14.41,"cultural, natural beauty",62,38,4.01,
Guinea-Bissau,,Bissau,Gabu,Bissagos Islands,Restaurante Papa Loca,Hotel CEIBA,2.153,"cultural, natural beauty",62,38,4.01,
Guyana,,Georgetown,New Amsterdam,Kaieteur Falls,Maharaja Palace Restaurant,Guyana Mariott Hotel,0.826353,"natural beauty, wildlife",67.3,32.7,4.01,
Haiti,,Port-au-Prince,Les Cayes,Laferriere Citadel,Haiti Bites,Marriott Port-au-Prince Hotel,11.64,"historical, cultural",77.9,22.1,4.01,
Honduras,,Tegucigalpa,La Ceiba,Cataratas Pulhapanzak,Restaurante 9 Patrias,Kimpton Grand Roatan,10.64,"natural beauty, cultural",73.4,26.6,3.19,
Hong Kong,,Sha Tin,Tsuen Wan,Hong Kong Disneyland,Pakeeza Food Restaurant,Hilton Garden Inn Hong Kong Mongkok,7.536,"cultural, foodie, artistic, historical, adventure, natural beauty",62,38,4.01,
Hungary,,Budapest,Debrecen,Fisherman's Bastion,Mazel Tov,MEININGER Budapest Great Market Hall,9.592,"historical, artistic, cultural",33.7,66.3,4.27,
Iceland,,Reykjavík,Hafnarfjörður,Gullfoss Falls,Baka Baka,The Retreat at Blue Lagoon,0.393349,"natural beauty, adventure",25.4,74.6,4.32,
India,,New Delhi,Mumbai,Gateway of India ,Suvarna Mahal,Hotel Rajasthan Palace,1438,"historical, religious, cultural",44.3,55.7,4.25,
Indonesia,,Jakarta,Jayapura,Sacred Monkey Forest Sanctuary,Kaum Jakarta,AYANA Komodo Waecicu,281.2,"tropical paradise, cultural, natural beauty",46.1,53.9,4.46,
Iran,,Tehran,Mashhad,Tomb of Hafez,Royal Galaxy Restaurant,Charman Grand Hotel,90.61,"historical, religious, cultural",49.5,50.5,3.72,
Iraq,,Baghdad,Mosul,Remains of the Hanging Gardens of Babylon,Damasquino Restaurant,BL Hotel's Erbil,45.07,"historical, religious, cultural",44.7,55.3,4.01,
Ireland,,Dublin,Galway,Dublin Book of Kells,The Old Storehouse Bar and Restaurant,Top of the Rock Pod Páirc and Walking Centre,5.308,"historical, artistic, cultural",46.5,53.5,4.44,
Isle of Man,,Douglas,Castletown,Isle of Man Steam Railway,Jak's Bar & Smokehouse,Premier Inn Douglas,0.084165,"historical, cultural, natural beauty, adventure, wildlife",62,38,4.01,
Israel,,Jerusalem,Rishon LeTsiyon,Masada National Park,HaKosem,U Coral Beach Club,9.757,"historical, religious, cultural",32.4,67.6,4.1,
Italy,,Rome,Venice,Pantheon,Joseph Ristorante,Hotel Campo de' Fiori,58.99,"historical, artistic, foodie",47.3,52.7,4.9,
Jamaica,,Montego Bay,Kingston,Bob Marley Museum,Rockhouse Restaurant,Luna Sea Inn,2.84,"tropical paradise, cultural, artistic",68.1,31.9,3.59,
Japan,,Tokyo,Osaka,Himeji Castle,Teppanyaki Ousaka,Rembrandt Style Sapporo,124.5,"historical, artistic, cultural",22.6,77.4,5.09,
Jersey,,Saint Helier,Grouville,Mont Orgueil Castle,La Bastille,The Savoy Jersey,0.103267,"historical, religious, cultural",62,38,4.01,
Jordan,,Amman,Aqaba,Wadi Rum Protected Area,Sufra,Nomads Hotel Amman,11.44,"historical, religious, cultural",40.4,59.6,3.81,
Kazakhstan,,Astana,Aktobe,Ascension Cathedral,Alasha,Kapsula Hotel Astana,20.33,"natural beauty, cultural",45.9,54.1,4.07,
Kenya,,Nakuru,Eldoret,Nairobi National Park,The Carnivore Restaurant,The Boma Nairobi,55.34,"wildlife, adventure, natural beauty",56.4,43.6,3.68,
Kiribati,,Tarawa,Eita,Tarawa Kiribati Temple,Bistro de Myrko,Terau Beach Bungalow,0.13253,"tropical paradise, cultural",62,38,4.01,
Kosovo,,Pristina,Prizren,Newborn Monument,Senses Restaurant,Swiss Diamond Hotel Prishtina,1.586,"historical, religious, cultural, adventure, natural beauty",62,38,4.01,
Kuwait,,Kuwait City,Al Jahra,The Kuwait Towers,Slider Station,Leaders Plaza Salmiya,4.853,"cultural, historical",32.8,67.2,3.44,
Kyrgyzstan,,Bishkek,Karakol,Ala Too Square,Azru Restaurant,Olive Hotel Bishkek,7.1,"natural beauty, adventure",54,46,3.38,
Laos,Lao PDR,Vientiane,Pakse,Kuang Si Waterfall,Manda de Laos,Treasure Hotel Laos,7.665,"natural beauty, cultural",62,38,3.48,
Latvia,,Riga,Ventspils,House of the Black Heads,Meln? Bite,Rixwell Old Riga Palace Hotel,1.877,"historical, cultural",37.4,62.6,3.88,
Lebanon,,Beirut,Maseru,Jeita Grotto,T-Marbouta,Hamra Urban Gardens,5.773,"historical, cultural, foodie",46.4,53.6,3.66,
Lesotho,,Maseru,Quthing,Katse Dam,No.7 Restaurant,Botleng Guest House,2.311,"natural beauty, adventure",62,38,4.01,
Liberia,,Monrovia,Gbarnga,Costa Rica'n Art Craft,Mariajuana Restobar,Kibassa Ecolodge,5.493,"cultural, natural beauty",62,38,4.01,
Libya,,Tripoli,Ubari,Arch of Marcus Aurelius,As-Safir Restaurant,Four Seasons Hotel,7.306,"historical, cultural",60.4,39.6,4.01,
Liechtenstein,,Vaduz,Schaan,Vaduz Castle,Alpspitz,Hotel Galina,0.039851,"historical, cultural",62,38,4.01,
Lithuania,,Vilnius,Utena,Museum of Occupations and Freedom Fights,Lokys,Urbihop Hotel,2.872,"historical, cultural",32.8,67.2,4.17,
Luxembourg,,Luxembourg,Vianden,Palais Grand-Ducal,Ambrosia Restaurant,Légére Hotel Luxembourg,0.666432,"historical, cultural, natural beauty, adventure, artistic",34.4,65.6,4.4,
Macau,,Nossa Senhora de Fátima ,Santo António,Ruins of Saint Paul's,Robuchon au Dôme,Holiday Hotel,0.6788,"cultural, historical, foodie, artistic, adventure",62,38,4.01,
Madagascar,,Antananarivo,Toamasina,Isalo National Park,Sakamanga Restaurant,Constance Tsarabanjina Madagascar,31.2,"wildlife, natural beauty, adventure, cultural",62,38,4.01,
Malawi,,Lilongwe,Mzuzu,Majete Wildlife Reserve,Hey Day Restaurant & Bar,Umunthu Space & Lodge,21.1,"wildlife, natural beauty, adventure, cultural",62,38,3.06,
Malaysia,,Kuala Lumpur,Kuching,Menara Kuala Lumpur,Manja KL,Le Apply Boutique KL,35.13,"tropical paradise, foodie, cultural, adventure, religious, natural beauty",50.7,49.3,4.28,
Maldives,,Malé,Addu City,Hulhumale,The Cloud Restaurant,LUX South Ari Atoll,0.525994,"tropical paradise, natural beauty, adventure, cultural",55,45,4.01,
Mali,,Bamako,Gao,Djingareyber Mosque,Le Maryssa,Le Campement,23.77,"historical, cultural, religious, natural beauty",62,38,2.78,
Malta,,Valletta,Birgu,Upper Barrakka,Venus Restaurant Bugibba,Beach Garden Hotel,0.552747,"historical, cultural, natural beauty, artistic",41.2,58.8,4.3,
Marshall Islands,,Majuro,Jaluit,Bikini Atoll,Blue Lagoon Restaurant,Marshall Islands Resort,0.038827,"tropical paradise, adventure, natural beauty, cultural",62,38,4.01,
Martinique,,Fort-de-France,Le François,Jardin de Balata,Casa Coco,Karibea Resort Sainte-Luce,0.349925,"tropical paradise, natural beauty, cultural, foodie, adventure",62,38,4.01,
Mauritania,,Nouakchott,Atar,Marche Capitale,Le Maquis Restaurant,Fasq Hotel Nouakchott,5.022,"historical, cultural, natural beauty, adventure",62,38,4.01,
Mayotte,,Mamoudzou,Koungou,Plage de N'Gouja,Le Quartier Gourmand,Hôtel Hamaha Beach,0.320901,"tropical paradise, natural beauty, cultural, adventure",62,38,4.01,
Mexico,,Mexico City,Guadalajara,Museo Nacional de Antropología,Pujol,Hotel Emporio Ciudad de México,129.7,"historical, cultural, foodie, adventure, tropical paradise, religious, natural beauty",53.8,46.2,4.26,
Micronesia,,Palikir,Tofol,Tamilyog Trail,Yildirmlar Otantik Restaurant,Manta Ray Bay Resort & Yap Divers,0.112631,"tropical paradise, adventure, natural beauty, cultural",62,38,4.01,
Moldova,,Chi?in?u,Orhei,Stephen the Great Central Park,Pegas Terrace & Restaurant,Aria Hotel,2.458,"cultural, foodie, historical, religious, natural beauty",45.1,54.9,3.53,
Monaco,,Monaco,Monte Carlo,Monte Carlo Casino,La Note Bleue,Fairmont Monte Carlo,0.038956,"artistic, historical, cultural, foodie, natural beauty",23.6,76.4,4.01,
Mongolia,,Ulaanbaatar,Murun,Gandentegchinlen Monestary,Choijin Temple Restaurant,Apache Eco Camp ,3.481,"adventure, natural beauty, cultural, wildlife",52.4,47.6,3.57,
Montenegro,,Podgorica,Budva,National Museum of Montenegro,Stari Mlini,Hotel Montenegro Beach,0.616177,"natural beauty, historical, cultural, adventure, wildlife",38,62,4.01,
Morocco,,Rabat,Meknes,Jardin Majorelle,Le Bistro Arabe ,Jurassic Surf House Anza,37.71,"historical, cultural, foodie, adventure, natural beauty, religious",46.5,53.5,3.64,
Mozambique,,Maputo,Chimoio,Parque Nacional Da Gorongosa,South Beach,Baia Sonambula,33.64,"tropical paradise, wildlife, adventure, natural beauty ,cultural",63.7,36.3,4.01,
Myanmar,Burma,Naypyidaw,Yangon,Shwedagon Pagoda,SEEDS Restaurant & Lounge,The Loft Hotel,54.13,"historical, religious, cultural, adventure, natural beauty",50.4,49.6,4.01,
Namibia,,Windhoek,Walvis Bay,Etosha National Park,Joe's Beerhouse,Zannier Sonop,2.963,"wildlife, natural beauty, adventure, cultural",63.9,36.1,3.45,
Nauru,,Yaren,Aiwo,Anibare Bay,Somewhere Else in Nauru,Menen Hotel,0.011875,"natural beauty, tropical paradise, wildlife",62,38,4.01,
Nepal,,Kathmandu,Pokhara,Tianmu River Drifting,Walnut Bistro,Panorama Lodge and Restaurant,29.69,"adventure, religious, natural beauty, cultural, historical",37.7,62.3,3.34,
Netherlands,,Amsterdam,Rotterdam,Van Gogh Museum,Moeders,EuroParcs Poort Van,17.88,"cultural, historical, artistic, foodie",26.3,73.7,4.64,
New Caledonia,,Nouméa,Bourail,Lagoon Aquarium,Restaurant Manuia,Hotel Tieti,0.289871,"tropical paradise, natural beauty, wildlife, adventure, cultural",62,38,4.01,
New Zealand,,Wellington,Auckland,Franz Josef Glacier,Ahi.,Kennedy Park Resort Napier,5.223,"natural beauty, adventure, wildlife, cultural, historical",47.7,52.3,4.41,
Nicaragua,,Managua,Masaya,Masaya Volcano,Restaurant Don Candido,Hotel Mozonte,6.824,"adventure, natural beauty, wildlife, cultural, foodie",52.2,47.8,3.24,
Niger,,Niamey,Zinder,Great Mosque of Niamey,New York Restaurant & Bar,Radisson Blu Hotel & Conference Center,26.16,"historical, cultural, adventure, wildlife, natural beauty",62,38,4.01,
Nigeria,,Abuja,Lagos,Lekki Conservation Centre,Wakame Restaurant,Boston Hills Resort & Hotel,227.9,"wildlife, historical, cultural, adventure, foodie",66.2,33.8,3.18,
North Korea,,Pyongyang,Nampo,Kim II-Sung Square,Songsan Restaurant,Changbai Paradise Resort,26.42,"historical, cultural, religious",51.7,48.3,4.01,
North Macedonia,,Skopje,Bitola,Royal Tombs of Aigai,Soul Kitchen - Macedonian Wine & Cuisine,Hotel Tino Sveti Stefan,1.828,"historical, religious, cultural, natural beauty, adventure",41,59,3.53,
Northern Mariana Islands,,Saipan,Capitol Hill,Mount Tapochau,Plumeria Steakhouse,Pacific Islands Club Saipan,0.045143,"tropical paradise, adventure, natural beauty, cultural",62,38,4.01,
Norway,,Oslo,Bergen,The Fram Museum,Maaemo,Sveastranda Camping,5.52,"natural beauty, adventure, wildlife, cultural, historical",32.6,67.4,4.01,
Oman,,Muscat,Sohar,Nizwa Fort,Ramssa Omani Restaurant,Atana Musandam Resort,5.049,"natural beauty, adventure, cultural, historical, wildlife",19,81,3.87,
Pakistan,,Karachi,Lahore,Shah Faisal Masjid,Andaaz Restaurant,Serena Hotel,247.5,"historical, religious, adventure, cultural, wildlife",43.2,56.8,3.41,
Palau,,Koror City,Ngermid,Belau National Museum,The Canoe House,Palau Royal Resort,0.017727,"tropical paradise, natural beauty, adventure, wildlife",62,38,4.01,
Panama,,Panama City,Colón,Miraflores Visitor's Center,La Tapa Del Coco,Hotel El Panamá,4.459,"adventure, natural beauty, cultural, tropical paradise, historical",44.3,55.7,3.9,
Papua New Guinea,,Port Moresby,Wewak,Kodaka Track,DC Café Bar Restaurant,Airways Hotel,10.727,"wildlife, cultural, adventure, natural beauty",79.9,20.1,4.01,
Paraguay,,Asunción,Ciudad del Este,Monday Falls,Bolsi,Los Lagos Resort Hotel,6.844,"wildlife, cultural, adventure, natural beauty",50.9,49.1,3.47,
Peru,,Lima,Cusco,Saqsaywaman,Maido,nhow Lima,33.85,"historical, adventure, cultural, wildlife, foodie, natural beauty",67.8,32.2,3.9,
Phillippines,,Manila,Davao City,Fort Santiago,The Aristocrat Restaurant,Fairways & Bluewater Boracay,114.9,"tropical paradise, natural beauty, adventure, wildlife, cultural",42.8,57.2,3.84,
Poland,,Warsaw,Pozna?,Malbork Castle,Restaurancja Ró?ana,Bajka Hotel & Resort,36.69,"historical, cultural, foodie, artistic, natural beauty",30.7,69.3,4.4,
Portugal,,Lisbon,Porto,Praia da Rocha,Adega das Gravatas,Hotel Vila Recife,10.58,"historical, cultural, foodie, natural beauty, adventure",31.2,68.8,4.78,
Puerto Rico,,San Juan,Aguadilla,Castillo San Felipe del Morro,Casita Miramar,Blue Horizon Boutique Resort,3.206,"tropical paradise, cultural, natural beauty, historical, foodie",61.7,38.3,4.01,
Qatar,,Doha,Al Wakrah,Museum of Islamic Art,Paper Moon Doha,AL Mansour Suites Hotel,2.656,"cultural, historical, adventure, wildlife",16,84,4.02,
Romania,,Bucharest,Constan?a,Bran Castle,Trattoria Mezzaluna,The Mansion,19.06,"historical, cultural, adventure, wildlife, natural beauty",33.7,66.3,4.19,
Russia,,Moscow,Saint Petersburg,The Moscow Kremlin,White Rabbit,MYS Boutique Hotel,143.8,"historical, cultural, adventure, wildlife, natural beauty",39.1,60.9,4.01,
Rwanda,,Kigali,Kibuye,Kigali Genocide Memorial,Repub Lounge,Sweet Stay Guest House Kigali,13.95,"wildlife, adventure, natural beauty, cultural",26.8,73.2,3.45,
Saint Kitts and Nevis,St Kitts and Nevis,Charlestown,Cayon,Brimstone Hill Fortress National Park,Shipwreck Beach Bar,Koi Resort Saint Kitts,0.046758,"tropical paradise, cultural, historical, adventure",62,38,4.01,
Saint Lucia,St Lucia,Castries,Vieux Fort,Pigeon Island,Naked Fisherman Restaurant,Marigot Beach Club & Dive,0.179285,"tropical paradise, adventure, natural beauty, cultural",62,38,4.01,
